created_at,neg,neu,pos,compound,vader,txtblob,retweets,favorites,weighted_compound_0,score_0,weighted_compound_1,score_1,weighted_compound_2,score_2,weighted_compound_3,score_3
2020-05-07 14:20:48,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-07 14:34:58,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-07 14:38:39,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-07 15:27:03,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-07 15:41:29,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.8131885714285714,1.0285714285714285,-0.034567359307359304,0.04372294372294372,-0.8131885714285714,1.0285714285714285,-0.022588571428571427,0.02857142857142857
2020-05-07 15:50:17,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-07 16:25:33,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.8018942857142857,1.0142857142857142,-0.023273073593073592,0.029437229437229435,-0.8018942857142857,1.0142857142857142,-0.011294285714285713,0.014285714285714285
2020-05-07 17:15:55,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-07 19:13:14,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.9035428571428571,1.1428571428571428,-0.124921645021645,0.158008658008658,-0.9035428571428571,1.1428571428571428,-0.11294285714285714,0.14285714285714285
2020-05-07 19:32:18,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.8131885714285714,1.0285714285714285,-0.034567359307359304,0.04372294372294372,-0.8131885714285714,1.0285714285714285,-0.022588571428571427,0.02857142857142857
2020-05-07 20:44:19,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-07 21:01:32,0.0,0.885,0.115,0.296,1,0.13636363636363635,0,0,0.296,1.0,0.004484848484848485,0.015151515151515152,0.296,1.0,0.004228571428571428,0.014285714285714285
2020-05-07 21:54:22,0.09,0.806,0.104,0.0772,1,-0.07142857142857142,0,4,0.0772,1.0,0.0011696969696969699,0.015151515151515152,0.0772,1.0,0.0011028571428571428,0.014285714285714285
2020-05-07 22:41:09,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.1428571428571428,0.0,0.158008658008658,0.0,1.1428571428571428,0.0,0.14285714285714285
2020-05-07 23:46:05,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-08 00:54:14,0.0,0.617,0.383,0.8602,1,0.0,1,2,0.8847771428571427,1.0285714285714285,0.03761047619047619,0.04372294372294372,0.8847771428571427,1.0285714285714285,0.024577142857142856,0.02857142857142857
2020-05-08 01:14:46,0.0,0.913,0.087,0.2023,1,0.25,0,0,0.20808,1.0285714285714285,0.008845151515151514,0.04372294372294372,0.20808,1.0285714285714285,0.00578,0.02857142857142857
2020-05-08 01:43:55,0.0,0.643,0.357,0.8602,1,0.0,0,0,0.8724885714285714,1.0142857142857142,0.02532190476190476,0.029437229437229435,0.8724885714285714,1.0142857142857142,0.012288571428571428,0.014285714285714285
2020-05-08 01:46:44,0.0,1.0,0.0,0.0,0,0.0,0,1,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
2020-05-08 03:37:33,0.25,0.75,0.0,-0.7184,-1,0.0,0,0,-0.7697142857142857,1.0714285714285714,-0.0621991341991342,0.08658008658008658,-0.7697142857142857,1.0714285714285714,-0.051314285714285715,0.07142857142857142
2020-05-08 04:09:08,0.286,0.714,0.0,-0.7906,-1,-0.042045454545454546,0,0,-0.7906,1.0,-0.011978787878787879,0.015151515151515152,-0.7906,1.0,-0.011294285714285713,0.014285714285714285
2020-05-08 04:26:34,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
2020-05-08 04:38:43,0.0,0.901,0.099,0.296,1,0.0,0,0,0.296,1.0,0.004484848484848485,0.015151515151515152,0.296,1.0,0.004228571428571428,0.014285714285714285
2020-05-08 05:23:22,0.226,0.774,0.0,-0.5859,-1,0.0,0,0,-0.59427,1.0142857142857142,-0.017247272727272726,0.029437229437229435,-0.59427,1.0142857142857142,-0.008369999999999999,0.014285714285714285
2020-05-08 08:10:02,0.0,1.0,0.0,0.0,0,0.125,7,8,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
2020-05-08 08:11:10,0.0,1.0,0.0,0.0,0,0.125,0,0,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
