,neg,neu,pos,compound,vader,txtblob,retweets,favorites
107,0.0,1.0,0.0,0.0,0,0.0625,0,0
108,0.0,1.0,0.0,0.0,0,0.0,0,0
109,0.087,0.913,0.0,-0.2023,-1,0.325,0,0
110,0.0,1.0,0.0,0.0,0,0.0,0,0
111,0.0,1.0,0.0,0.0,0,-0.012499999999999997,1,12
112,0.0,0.844,0.156,0.5719,1,0.0,0,0
113,0.0,1.0,0.0,0.0,0,0.17045454545454544,0,0
114,0.0,1.0,0.0,0.0,0,0.1,0,0
115,0.0,1.0,0.0,0.0,0,0.0625,0,0
116,0.0,1.0,0.0,0.0,0,0.0625,0,0
117,0.0,1.0,0.0,0.0,0,0.0625,0,0
118,0.192,0.659,0.15,-0.1779,-1,0.2,0,0
119,0.0,1.0,0.0,0.0,0,0.0,0,3
120,0.0,1.0,0.0,0.0,0,0.0,0,1
121,0.0,0.844,0.156,0.5719,1,0.0,0,0
122,0.108,0.892,0.0,-0.3182,-1,0.0,0,0
123,0.0,0.913,0.087,0.296,1,0.225,0,0
124,0.0,1.0,0.0,0.0,0,0.0,0,0
125,0.0,0.844,0.156,0.5719,1,0.0,0,0
126,0.0,1.0,0.0,0.0,0,0.17045454545454544,0,0
127,0.0,0.844,0.156,0.5719,1,0.0,0,0
128,0.0,0.938,0.062,0.1007,1,0.0,1,0
129,0.0,1.0,0.0,0.0,0,0.0,0,0
130,0.0,1.0,0.0,0.0,0,0.0625,0,0
131,0.0,0.927,0.073,0.128,1,0.0,0,0
132,0.0,1.0,0.0,0.0,0,0.0,0,0
133,0.0,0.9,0.1,0.2732,1,0.0,0,0
134,0.0,1.0,0.0,0.0,0,0.0,0,0
135,0.0,0.913,0.087,0.296,1,0.225,0,0
136,0.0,1.0,0.0,0.0,0,0.0625,0,0
137,0.0,1.0,0.0,0.0,0,0.0,0,1
138,0.0,1.0,0.0,0.0,0,0.08,0,0
139,0.0,1.0,0.0,0.0,0,0.0,0,0
140,0.0,1.0,0.0,0.0,0,-0.2,0,0
141,0.0,1.0,0.0,0.0,0,0.0,0,1
142,0.0,1.0,0.0,0.0,0,0.0,0,0
143,0.0,1.0,0.0,0.0,0,0.0625,0,0
144,0.0,0.888,0.112,0.4404,1,0.0,0,0
145,0.0,1.0,0.0,0.0,0,0.0,0,0
146,0.0,1.0,0.0,0.0,0,0.0,0,0
147,0.0,1.0,0.0,0.0,0,0.0,0,0
148,0.087,0.913,0.0,-0.2023,-1,0.325,0,0
149,0.0,0.844,0.156,0.5719,1,0.0,0,0
150,0.0,1.0,0.0,0.0,0,0.0625,0,0
151,0.153,0.847,0.0,-0.5574,-1,0.0,0,0
152,0.108,0.892,0.0,-0.3182,-1,0.0,0,0
153,0.0,1.0,0.0,0.0,0,-0.03333333333333333,0,2
154,0.0,1.0,0.0,0.0,0,0.0625,0,0
155,0.0,0.921,0.079,0.3595,1,0.026704545454545446,1,5
156,0.0,1.0,0.0,0.0,0,0.0,0,0
157,0.0,1.0,0.0,0.0,0,0.0,2,4
158,0.116,0.884,0.0,-0.2732,-1,0.0,0,0
159,0.153,0.847,0.0,-0.5574,-1,0.0,0,0
160,0.0,0.913,0.087,0.296,1,0.225,0,0
161,0.0,1.0,0.0,0.0,0,0.0,0,1
162,0.0,1.0,0.0,0.0,0,0.0,0,0
163,0.094,0.743,0.163,0.34,1,0.4333333333333333,0,0
164,0.15,0.85,0.0,-0.3182,-1,0.0,0,0
165,0.0,0.844,0.156,0.5719,1,0.0,0,0
166,0.108,0.892,0.0,-0.3182,-1,0.0,0,0
167,0.108,0.892,0.0,-0.3182,-1,0.0,0,0
168,0.0,0.658,0.342,0.6369,1,0.03333333333333333,0,0
169,0.0,1.0,0.0,0.0,0,0.0,0,1
170,0.074,0.926,0.0,-0.25,-1,0.0,0,0
171,0.0,1.0,0.0,0.0,0,0.0,1,1
172,0.153,0.847,0.0,-0.5574,-1,0.0,0,0
173,0.0,1.0,0.0,0.0,0,0.0625,0,0
174,0.143,0.857,0.0,-0.4588,-1,0.005681818181818177,0,1
175,0.0,1.0,0.0,0.0,0,0.05,1,3
176,0.0,1.0,0.0,0.0,0,0.0,0,0
177,0.0,1.0,0.0,0.0,0,-0.3,0,0
178,0.0,0.844,0.156,0.5719,1,0.0,0,0
179,0.0,1.0,0.0,0.0,0,0.05,0,0
180,0.0,1.0,0.0,0.0,0,0.0625,0,0
181,0.0,0.78,0.22,0.6553,1,0.11818181818181818,0,0
182,0.075,0.83,0.095,0.128,1,0.0,0,0
183,0.0,0.828,0.172,0.4404,1,0.0,0,0
184,0.0,0.888,0.112,0.34,1,0.375,0,0
185,0.0,1.0,0.0,0.0,0,0.0625,0,0
186,0.079,0.875,0.046,-0.2023,-1,-0.1,0,1
187,0.0,1.0,0.0,0.0,0,0.0,0,0
188,0.0,0.546,0.454,0.8461,1,0.35000000000000003,0,3
189,0.0,0.658,0.342,0.6369,1,0.03333333333333333,0,0
190,0.0,1.0,0.0,0.0,0,0.0,0,1
191,0.0,1.0,0.0,0.0,0,0.0,2,8
192,0.0,1.0,0.0,0.0,0,0.08333333333333333,1,4
193,0.0,0.738,0.262,0.4939,1,0.225,0,1
194,0.0,0.844,0.156,0.5719,1,0.0,0,0
195,0.0,1.0,0.0,0.0,0,0.0,0,1
196,0.0,1.0,0.0,0.0,0,0.0,0,0
197,0.0,1.0,0.0,0.0,0,0.0,0,1
198,0.0,1.0,0.0,0.0,0,0.0625,0,0
199,0.165,0.67,0.165,0.0,0,0.21666666666666667,0,1
200,0.0,1.0,0.0,0.0,0,0.0625,0,0
201,0.0,0.698,0.302,0.6369,1,0.03333333333333333,0,0
202,0.0,1.0,0.0,0.0,0,0.2,0,3
