,neg,neu,pos,compound,vader,txtblob,retweets,favorites,weighted_compound_0,score_0,weighted_compound_1,score_1,weighted_compound_2,score_2,weighted_compound_3,score_3
0,0.092,0.69,0.218,0.4939,1,0.8,1,1,0.0010069317023445464,0.0020387359836901123,0.4949069317023446,1.0020387359836902,0.0018300983690112131,0.003705402650356779,0.4949069317023446,1.0020387359836902
1,0.0,0.833,0.167,0.4588,1,0.3125,0,0,0.0,0.0,0.4588,1.0,0.0007646666666666666,0.0016666666666666668,0.4588,1.0
2,0.0,1.0,0.0,0.0,0,-0.35,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
3,0.098,0.671,0.232,0.4939,1,0.8,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
4,0.0,0.853,0.147,0.4767,1,0.0,0,0,0.0,0.0,0.4767,1.0,0.0007945000000000001,0.0016666666666666668,0.4767,1.0
5,0.0,0.759,0.241,0.6956,1,0.39999999999999997,0,3,0.002127217125382263,0.0030581039755351682,0.6977272171253822,1.003058103975535,0.0032865504587155964,0.004724770642201835,0.6977272171253822,1.003058103975535
6,0.092,0.69,0.218,0.4939,1,0.8,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
7,0.147,0.632,0.221,0.1779,1,0.0,0,0,0.0,0.0,0.1779,1.0,0.0002965,0.0016666666666666668,0.1779,1.0
8,0.0,1.0,0.0,0.0,0,0.25,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
9,0.0,0.813,0.187,0.5574,1,-0.03333333333333333,0,0,0.0,0.0,0.5574,1.0,0.000929,0.0016666666666666668,0.5574,1.0
10,0.0,0.813,0.187,0.5574,1,-0.03333333333333333,0,0,0.0,0.0,0.5574,1.0,0.000929,0.0016666666666666668,0.5574,1.0
11,0.0,0.714,0.286,0.4939,1,0.0,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
12,0.0,0.862,0.138,0.34,1,-0.13333333333333333,1,0,0.0003465851172273191,0.0010193679918450561,0.3403465851172274,1.001019367991845,0.0009132517838939859,0.002686034658511723,0.3403465851172274,1.001019367991845
13,0.0,0.791,0.209,0.4404,1,0.0,0,0,0.0,0.0,0.4404,1.0,0.0007340000000000001,0.0016666666666666668,0.4404,1.0
14,0.0,0.813,0.187,0.5574,1,-0.03333333333333333,0,0,0.0,0.0,0.5574,1.0,0.000929,0.0016666666666666668,0.5574,1.0
15,0.0,0.885,0.115,0.0772,1,0.0,0,0,0.0,0.0,0.0772,1.0,0.00012866666666666669,0.0016666666666666668,0.0772,1.0
16,0.0,1.0,0.0,0.0,0,0.03409090909090909,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
17,0.082,0.722,0.196,0.4939,1,0.8,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
18,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
19,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
20,0.0,0.876,0.124,0.4019,1,-0.07777777777777779,0,0,0.0,0.0,0.4019,1.0,0.0006698333333333334,0.0016666666666666668,0.4019,1.0
21,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
22,0.0,1.0,0.0,0.0,0,0.25,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
23,0.0,0.738,0.262,0.4939,1,0.0,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
24,0.0,0.862,0.138,0.34,1,-0.13333333333333333,0,0,0.0,0.0,0.34,1.0,0.0005666666666666667,0.0016666666666666668,0.34,1.0
25,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
26,0.078,0.735,0.186,0.4939,1,0.8,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
27,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
28,0.0,0.809,0.191,0.1531,1,0.0,0,0,0.0,0.0,0.1531,1.0,0.0002551666666666667,0.0016666666666666668,0.1531,1.0
29,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
30,0.0,0.843,0.157,0.4215,1,-0.125,0,0,0.0,0.0,0.4215,1.0,0.0007025,0.0016666666666666668,0.4215,1.0
31,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
32,0.0,1.0,0.0,0.0,0,0.04999999999999999,1,1,0.0,0.0020387359836901123,0.0,1.0020387359836902,0.0,0.003705402650356779,0.0,1.0020387359836902
33,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
34,0.0,0.738,0.262,0.4939,1,0.0,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
35,0.092,0.69,0.218,0.4939,1,0.8,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
36,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
37,0.0,1.0,0.0,0.0,0,0.0,0,8,0.0,0.00815494393476045,0.0,1.0081549439347604,0.0,0.009821610601427116,0.0,1.0081549439347604
38,0.0,0.714,0.286,0.4939,1,0.0,5,2,0.003524260958205912,0.007135575942915392,0.49742426095820597,1.0071355759429155,0.004347427624872579,0.008802242609582058,0.49742426095820597,1.0071355759429155
39,0.0,1.0,0.0,0.0,0,-0.4,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
40,0.183,0.765,0.052,-0.6486,-1,-0.15000000000000002,0,0,-0.0,0.0,-0.6486,1.0,-0.001081,0.0016666666666666668,-0.6486,1.0
41,0.0,0.902,0.098,0.0772,1,0.0,0,0,0.0,0.0,0.0772,1.0,0.00012866666666666669,0.0016666666666666668,0.0772,1.0
42,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,1.0
43,0.0,0.802,0.198,0.4939,1,0.5,0,0,0.0,0.0,0.4939,1.0,0.0008231666666666667,0.0016666666666666668,0.4939,1.0
44,0.0,0.827,0.173,0.5574,1,-0.03333333333333333,0,0,0.0,0.0,0.5574,1.0,0.000929,0.0016666666666666668,0.5574,1.0
