,neg,neu,pos,compound,vader,txtblob,retweets,favorites,weighted_compound_0,score_0,weighted_compound_1,score_1,weighted_compound_2,score_2,weighted_compound_3,score_3
320,0.0,1.0,0.0,0.0,0,0.05,1,0,0.0,1.001194743130227,0.0,0.0037136348178844316,0.0,1.001194743130227,0.0,0.0011947431302270011
321,0.209,0.791,0.0,-0.6486,-1,0.0,0,1,-0.6493749103942652,1.001194743130227,-0.0024086635428798423,0.0037136348178844316,-0.6493749103942652,1.001194743130227,-0.0007749103942652328,0.0011947431302270011
322,0.0,0.909,0.091,0.296,1,0.018181818181818174,0,0,0.296,1.0,0.0007455919395465995,0.0025188916876574307,0.296,1.0,0.00035364396654719233,0.0011947431302270011
323,0.0,1.0,0.0,0.0,0,0.0,0,1,0.0,1.001194743130227,0.0,0.0037136348178844316,0.0,1.001194743130227,0.0,0.0011947431302270011
324,0.133,0.812,0.055,-0.4767,-1,-0.09999999999999999,0,0,-0.4767,1.0,-0.0012007556675062972,0.0025188916876574307,-0.4767,1.0,-0.0005695340501792115,0.0011947431302270011
325,0.0,0.939,0.061,0.0772,1,0.25,0,0,0.0772,1.0,0.00019445843828715367,0.0025188916876574307,0.0772,1.0,9.223416965352449e-05,0.0011947431302270011
326,0.0,0.876,0.124,0.4019,1,0.0,0,0,0.4019,1.0,0.0010123425692695213,0.0025188916876574307,0.4019,1.0,0.00048016726403823175,0.0011947431302270011
327,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
328,0.0,0.727,0.273,0.8349,1,0.5833333333333334,0,2,0.8368949820788532,1.002389486260454,0.004098004748878235,0.004908377948111433,0.8368949820788532,1.002389486260454,0.0019949820788530462,0.0023894862604540022
329,0.0,0.84,0.16,0.5859,1,0.15000000000000005,0,0,0.5859,1.0,0.0014758186397984885,0.0025188916876574307,0.5859,1.0,0.0006999999999999999,0.0011947431302270011
330,0.0,0.854,0.146,0.34,1,0.0,0,0,0.34,1.0,0.0008564231738035265,0.0025188916876574307,0.34,1.0,0.0004062126642771804,0.0011947431302270011
331,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
332,0.0,0.909,0.091,0.296,1,0.018181818181818174,0,0,0.296,1.0,0.0007455919395465995,0.0025188916876574307,0.296,1.0,0.00035364396654719233,0.0011947431302270011
333,0.0,0.812,0.188,0.5267,1,0.05,0,0,0.5267,1.0,0.0013267002518891687,0.0025188916876574307,0.5267,1.0,0.0006292712066905614,0.0011947431302270011
334,0.0,1.0,0.0,0.0,0,0.1,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
335,0.0,1.0,0.0,0.0,0,0.1,4,12,0.0,1.0191158900836321,0.0,0.021634781771289448,0.0,1.0191158900836321,0.0,0.019115890083632018
336,0.087,0.797,0.116,0.2023,1,0.09999999999999999,0,2,0.20278339307048987,1.002389486260454,0.000992964858902943,0.004908377948111433,0.20278339307048987,1.002389486260454,0.0004833930704898447,0.0023894862604540022
337,0.093,0.805,0.102,0.0516,1,0.1,2,2,0.05184659498207885,1.004778972520908,0.00037656979316197647,0.007297864208565435,0.05184659498207885,1.004778972520908,0.000246594982078853,0.0047789725209080045
338,0.306,0.694,0.0,-0.765,-1,0.0,0,2,-0.7668279569892474,1.002389486260454,-0.0037549091303052465,0.004908377948111433,-0.7668279569892474,1.002389486260454,-0.0018279569892473118,0.0023894862604540022
339,0.0,1.0,0.0,0.0,0,0.1,2,0,0.0,1.002389486260454,0.0,0.004908377948111433,0.0,1.002389486260454,0.0,0.0023894862604540022
340,0.0,1.0,0.0,0.0,0,0.0625,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
341,0.0,1.0,0.0,0.0,0,0.0625,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
342,0.0,0.863,0.137,0.565,1,0.5,0,3,0.5670250896057347,1.003584229390681,0.0034482634092612152,0.006103121078338434,0.5670250896057347,1.003584229390681,0.002025089605734767,0.0035842293906810036
343,0.0,1.0,0.0,0.0,0,-0.08333333333333333,0,1,0.0,1.001194743130227,0.0,0.0037136348178844316,0.0,1.001194743130227,0.0,0.0011947431302270011
344,0.0,0.806,0.194,0.6486,1,0.2375,2,4,0.6532494623655914,1.007168458781362,0.006283215514206008,0.009687350469019439,0.6532494623655914,1.007168458781362,0.0046494623655913975,0.007168458781362007
345,0.0,1.0,0.0,0.0,0,0.05,0,1,0.0,1.001194743130227,0.0,0.0037136348178844316,0.0,1.001194743130227,0.0,0.0011947431302270011
346,0.0,1.0,0.0,0.0,0,0.1,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
347,0.0,0.909,0.091,0.296,1,0.018181818181818174,0,0,0.296,1.0,0.0007455919395465995,0.0025188916876574307,0.296,1.0,0.00035364396654719233,0.0011947431302270011
348,0.0,0.909,0.091,0.296,1,0.1,0,0,0.296,1.0,0.0007455919395465995,0.0025188916876574307,0.296,1.0,0.00035364396654719233,0.0011947431302270011
349,0.0,0.864,0.136,0.296,1,0.1,0,0,0.296,1.0,0.0007455919395465995,0.0025188916876574307,0.296,1.0,0.00035364396654719233,0.0011947431302270011
350,0.18,0.82,0.0,-0.6808,-1,-0.3,1,0,-0.6816133811230586,1.001194743130227,-0.0025282425840157208,0.0037136348178844316,-0.6816133811230586,1.001194743130227,-0.0008133811230585424,0.0011947431302270011
351,0.0,0.854,0.146,0.34,1,0.1,0,0,0.34,1.0,0.0008564231738035265,0.0025188916876574307,0.34,1.0,0.0004062126642771804,0.0011947431302270011
352,0.0,0.833,0.167,0.5859,1,0.45,3,4,0.5907999999999999,1.008363201911589,0.006375818639798489,0.01088209359924644,0.5907999999999999,1.008363201911589,0.0049,0.008363201911589008
353,0.0,1.0,0.0,0.0,0,0.1,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
354,0.0,1.0,0.0,0.0,0,0.0625,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
355,0.0,1.0,0.0,0.0,0,0.0,7,13,0.0,1.02389486260454,0.0,0.026413754292197455,0.0,1.02389486260454,0.0,0.023894862604540025
356,0.0,0.851,0.149,0.2732,1,0.0,0,3,0.274179211469534,1.003584229390681,0.0016673726786020603,0.006103121078338434,0.274179211469534,1.003584229390681,0.0009792114695340501,0.0035842293906810036
357,0.0,0.888,0.112,0.4144,1,0.19999999999999998,0,0,0.4144,1.0,0.0010438287153652392,0.0025188916876574307,0.4144,1.0,0.0004951015531660692,0.0011947431302270011
358,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
359,0.0,1.0,0.0,0.0,0,0.1,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
360,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
361,0.0,0.909,0.091,0.296,1,0.018181818181818174,0,0,0.296,1.0,0.0007455919395465995,0.0025188916876574307,0.296,1.0,0.00035364396654719233,0.0011947431302270011
362,0.0,1.0,0.0,0.0,0,0.0,1,7,0.0,1.009557945041816,0.0,0.01207683672947344,0.0,1.009557945041816,0.0,0.009557945041816009
363,0.0,0.854,0.146,0.34,1,0.0,0,0,0.34,1.0,0.0008564231738035265,0.0025188916876574307,0.34,1.0,0.0004062126642771804,0.0011947431302270011
364,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
365,0.0,0.847,0.153,0.4019,1,0.13636363636363635,0,0,0.4019,1.0,0.0010123425692695213,0.0025188916876574307,0.4019,1.0,0.00048016726403823175,0.0011947431302270011
366,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
367,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
368,0.0,0.844,0.156,0.34,1,0.0,0,0,0.34,1.0,0.0008564231738035265,0.0025188916876574307,0.34,1.0,0.0004062126642771804,0.0011947431302270011
369,0.097,0.903,0.0,-0.3566,-1,-0.125,0,0,-0.3566,1.0,-0.0008982367758186398,0.0025188916876574307,-0.3566,1.0,-0.00042604540023894854,0.0011947431302270011
370,0.0,1.0,0.0,0.0,0,0.0,11,35,0.0,1.054958183990442,0.0,0.05747707567809949,0.0,1.054958183990442,0.0,0.054958183990442055
371,0.0,1.0,0.0,0.0,0,0.05,1,19,0.0,1.02389486260454,0.0,0.026413754292197455,0.0,1.02389486260454,0.0,0.023894862604540025
372,0.0,1.0,0.0,0.0,0,0.5,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
373,0.0,1.0,0.0,0.0,0,0.0,0,1,0.0,1.001194743130227,0.0,0.0037136348178844316,0.0,1.001194743130227,0.0,0.0011947431302270011
374,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
375,0.0,1.0,0.0,0.0,0,0.05,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
376,0.0,1.0,0.0,0.0,0,0.1,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
377,0.069,0.888,0.042,-0.1759,-1,0.0,0,0,-0.1759,1.0,-0.00044307304785894206,0.0025188916876574307,-0.1759,1.0,-0.00021015531660692949,0.0011947431302270011
378,0.0,1.0,0.0,0.0,0,-0.1125,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
379,0.0,1.0,0.0,0.0,0,0.1761904761904762,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
380,0.085,0.809,0.107,0.1531,1,0.0,0,1,0.15328291517323778,1.001194743130227,0.0005685574906181065,0.0037136348178844316,0.15328291517323778,1.001194743130227,0.0001829151732377539,0.0011947431302270011
381,0.0,0.87,0.13,0.34,1,0.0,0,0,0.34,1.0,0.0008564231738035265,0.0025188916876574307,0.34,1.0,0.0004062126642771804,0.0011947431302270011
382,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
383,0.0,0.939,0.061,0.0772,1,0.0,0,1,0.07729223416965353,1.001194743130227,0.0002866926079406781,0.0037136348178844316,0.07729223416965353,1.001194743130227,9.223416965352449e-05,0.0011947431302270011
384,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
385,0.0,1.0,0.0,0.0,0,0.0625,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
386,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
387,0.0,1.0,0.0,0.0,0,0.0,3,3,0.0,1.007168458781362,0.0,0.009687350469019439,0.0,1.007168458781362,0.0,0.007168458781362007
388,0.0,1.0,0.0,0.0,0,0.1,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
389,0.0,1.0,0.0,0.0,0,0.0625,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
390,0.0,0.854,0.146,0.34,1,0.0,0,0,0.34,1.0,0.0008564231738035265,0.0025188916876574307,0.34,1.0,0.0004062126642771804,0.0011947431302270011
391,0.0,1.0,0.0,0.0,0,0.5,0,0,0.0,1.0,0.0,0.0025188916876574307,0.0,1.0,0.0,0.0011947431302270011
392,0.11,0.89,0.0,-0.3818,-1,-0.5,6,31,-0.39867765830346474,1.044205495818399,-0.017839371149812364,0.04672438750605648,-0.39867765830346474,1.044205495818399,-0.016877658303464754,0.04420549581839905
393,0.0,0.854,0.146,0.34,1,0.1,0,1,0.34040621266427723,1.001194743130227,0.0012626358380807068,0.0037136348178844316,0.34040621266427723,1.001194743130227,0.0004062126642771804,0.0011947431302270011
394,0.0,1.0,0.0,0.0,0,0.18316761363636364,1,1,0.0,1.002389486260454,0.0,0.004908377948111433,0.0,1.002389486260454,0.0,0.0023894862604540022
395,0.0,0.905,0.095,0.296,1,0.0,0,0,0.296,1.0,0.0007455919395465995,0.0025188916876574307,0.296,1.0,0.00035364396654719233,0.0011947431302270011
396,0.0,0.586,0.414,0.5473,1,0.8,0,0,0.5473,1.0,0.0013785894206549119,0.0025188916876574307,0.5473,1.0,0.0006538829151732377,0.0011947431302270011
